fold,train_end,test_period,model,ic,hit_rate,sharpe,gated_sharpe,gated_hit,rmse,mae,r2
1,2012-12-31,2013-2015,ridge,0.415617,0.571429,0.620743,1.945366,0.692857,0.032461,0.02652,0.07747
1,2012-12-31,2013-2015,pca_ridge,0.529722,0.582143,0.721174,0.941173,0.62381,0.033177,0.026252,0.036304
1,2012-12-31,2013-2015,random_forest,0.222771,0.575,0.69802,0.294593,0.540476,0.035205,0.029229,-0.085052
1,2012-12-31,2013-2015,xgboost,0.164139,0.547619,0.487884,0.123169,0.514286,0.034422,0.028125,-0.037372
2,2014-12-31,2015-2017,ridge,0.373888,0.659929,1.43744,1.564766,0.630952,0.038134,0.029967,-1.010619
2,2014-12-31,2015-2017,pca_ridge,0.459716,0.682521,1.627473,1.945475,0.671429,0.023757,0.019492,0.219639
2,2014-12-31,2015-2017,random_forest,0.20737,0.577883,0.628096,0.986132,0.620525,0.027476,0.022218,-0.043752
2,2014-12-31,2015-2017,xgboost,0.163795,0.551724,0.514431,0.848723,0.599509,0.026868,0.022088,0.001925
3,2016-12-31,2017-2019,ridge,-0.176847,0.419048,-0.563745,-0.796844,0.37381,0.039895,0.03274,-1.473931
3,2016-12-31,2017-2019,pca_ridge,-0.194572,0.421429,-0.491575,-0.621608,0.414286,0.032556,0.026325,-0.647518
3,2016-12-31,2017-2019,random_forest,-0.060134,0.503571,-0.1187,-0.659337,0.397619,0.029275,0.023371,-0.332162
3,2016-12-31,2017-2019,xgboost,0.083521,0.59881,0.241169,0.414901,0.6133,0.025307,0.02046,0.004464
4,2018-12-31,2019-2021,ridge,0.018289,0.504162,0.172645,-0.103061,0.45,0.040774,0.032095,-0.203341
4,2018-12-31,2019-2021,pca_ridge,0.109781,0.51843,0.215423,0.238301,0.516667,0.038589,0.029425,-0.07785
4,2018-12-31,2019-2021,random_forest,0.154867,0.537455,0.204477,0.29491,0.590476,0.038954,0.029263,-0.0983
4,2018-12-31,2019-2021,xgboost,0.037982,0.511296,0.199417,-0.140352,0.502392,0.037491,0.028987,-0.017385
5,2020-12-31,2021-2023,ridge,0.016503,0.485714,-0.233443,-0.123151,0.471429,0.033192,0.025232,-0.147737
5,2020-12-31,2021-2023,pca_ridge,-0.003176,0.446429,-0.360834,-0.101699,0.495238,0.033616,0.025713,-0.177201
5,2020-12-31,2021-2023,random_forest,0.195885,0.55,0.138342,0.55731,0.566667,0.035943,0.028377,-0.345811
5,2020-12-31,2021-2023,xgboost,0.005572,0.528571,0.127663,-0.268212,0.480769,0.031104,0.023692,-0.007837
